model,prompt,story_id,groovist,MCC,mci_tanh_mcc_over_gv,mci_tanh_gv_over_mcc
gpt4o,large,7596,0.3654466565724523,0.7128154631118069,0.96036075961721,0.4720311511337657
gpt4o,large,6729,0.5282692796002938,0.6314822297890939,0.8322397937885385,0.6839797579164465
gpt4o,large,13596,0.6722200463227883,0.7615941559557649,0.8120277182177699,0.7077437274928893
gpt4o,large,5265,0.7151772555102788,0.2252307855055717,0.3049154456476611,0.9965147445322422
gpt4o,large,5721,0.4763577123249085,0.0,0.0,1.0
gpt4o,large,11457,0.5322597140506772,0.0,0.0,1.0
gpt4o,large,1467,0.3939773540714985,0.5707715591054949,0.8954438460302051,0.5981451446025722
gpt4o,large,9914,0.6611751201084052,0.4752103087412045,0.6161256858359218,0.8834635028321636
gpt4o,large,5062,0.8204971010405804,0.0,0.0,1.0
gpt4o,large,6847,0.5595846753724617,0.7194457547662724,0.8579904047278517,0.6514419570605587
gpt4o,large,723,0.7451352024365192,0.703905603936621,0.7373597368170942,0.7851169375221043
gpt4o,large,8154,0.332925867587482,0.7363051152420693,0.9762936964113881,0.42367083829774577
gpt4o,large,3230,0.7494309548855359,0.3694730065386973,0.45659798742656343,0.9659786137897892
gpt4o,large,11260,0.4082364603258511,0.7543237877285113,0.951534722202715,0.4938921973413403
gpt4o,large,9334,0.8308910703913445,0.7615941559557649,0.7242846454481424,0.7972389320663049
gpt4o,large,3295,0.268554238549154,0.7290750273931262,0.9912688430940975,0.352546969648496
gpt4o,large,2400,0.3790340122997718,0.7166852381642189,0.9554446510241921,0.4845175705967216
gpt4o,large,4797,0.586305513110062,0.6721885506518375,0.8165851821799796,0.7025072377945574
gpt4o,large,11541,0.6100563685555247,0.0,0.0,1.0
gpt4o,large,7065,0.6047891404215043,0.7615941559557649,0.8508633345833939,0.6607307463537928
gpt4o,large,948,0.6864289429972649,0.6961386412449233,0.7674710816339176,0.7556738687547966
gpt4o,large,8061,0.5334309351617098,0.7237574169237782,0.8756480513942142,0.6273474026643481
gpt4o,large,6878,0.6314055367822855,0.7321442233518527,0.8208921015077411,0.6974951990017938
gpt4o,large,11543,0.5851155366446477,0.0,0.0,1.0
gpt4o,large,345,0.7043566336457836,0.7615941559557649,0.7936666663180473,0.7281814503006345
gpt4o,large,2926,0.4211717351038364,0.4179335392982926,0.7583462018558578,0.764829000776718
gpt4o,large,1201,0.6671017271541102,0.0,0.0,1.0
gpt4o,large,13683,0.4535794262207677,0.349185777085763,0.6468392039519082,0.8614559688187542
gpt4o,large,8551,0.6269828203155551,0.0,0.0,1.0
gpt4o,large,4173,0.6964219718015086,0.7371981092294224,0.7851086063668291,0.7373685805399125
gpt4o,large,5201,0.3857597079396138,0.5977376143607831,0.9137042093291752,0.5685423145029239
gpt4o,large,11340,0.6730119278925194,0.221345590089283,0.3175212950386826,0.9954390846348912
gpt4o,large,8085,0.7752258815898847,0.741761064526366,0.742860511602988,0.7799000425743017
gpt4o,large,7150,0.6827469903945992,0.7543237877285113,0.8022295756632081,0.7187775488869944
gpt4o,large,10486,0.742768611837939,0.7429554210129468,0.7616997552413014,0.7614885314682269
gpt4o,large,3891,0.5983060350694058,0.7128154631118069,0.8310092695749828,0.6854678742425889
gpt4o,large,515,0.5461873995618981,0.5077294373038432,0.7304019004609128,0.7916158485392473
gpt4o,large,2722,0.4631232223718387,0.0,0.0,1.0
gpt4o,large,1111,0.6066174626045971,0.0,0.0,1.0
gpt4o,large,11719,0.6111974715707958,0.600950104267007,0.7544624422559091,0.76866304140077
gpt4o,large,12423,0.5692206749741144,0.7409549664439451,0.8621603358980732,0.6458965572439131
gpt4o,large,6215,0.5321364595379962,0.7403210562372962,0.8834399010032782,0.6161601468902776
gpt4o,large,12358,0.2665388821554407,0.0,0.0,1.0
gpt4o,large,10408,0.5366944043356882,0.5711956169668236,0.7872982141837613,0.735037609287672
gpt4o,large,4047,0.5403220030131297,0.0,0.0,1.0
gpt4o,large,2702,0.8240944112338271,0.221345590089283,0.2623146791649274,0.9988333977926749
gpt4o,large,7702,0.4524598325316787,0.2538647186519216,0.5087759340366362,0.9449406052799652
internvl3,original,948,0.7230240548602461,0.4703566670754275,0.5720339291123895,0.9116457087395994
internvl3,original,9914,0.7193632518851986,0.2213455900892829,0.29834010989676685,0.9969973659963164
